종목명,업종명
티사이언티픽,디지털컨텐츠
티쓰리,디지털컨텐츠
티씨케이,반도체
티앤알바이오팹,제약
티앤엘,제약
티에스넥스젠,기계·장비
티에스아이,기계·장비
티에스이,반도체
티에프이,반도체
티엔엔터테인먼트,방송서비스
티엘비,일반전기전자
티엘아이,반도체
티움바이오,기타서비스
티이엠씨,반도체
티케이케미칼,화학
티플랙스,금속
티피씨글로벌,운송장비·부품
팅크웨어,통신장비
파나케이아,기계·장비
파두,반도체
파라다이스,오락·문화
파라텍,기계·장비
파로스아이바이오,기타서비스
파루,IT부품
파마리서치,제약
파멥신,제약
파버나인,일반전기전자
파세코,일반전기전자
파수,소프트웨어
파워넷,일반전기전자
파워로직스,IT부품
파이버프로,의료·정밀기기
파이오링크,통신장비
파인디앤씨,IT부품
파인디지털,통신장비
파인엠텍,IT부품
파인테크닉스,일반전기전자
파인텍,IT부품
파커스,IT부품
파크시스템스,의료·정밀기기
파트론,IT부품
판타지오,오락·문화
팜스빌,음식료·담배
팜스토리,음식료·담배
패션플랫폼,섬유·의류
팬스타엔터프라이즈,기계·장비
팬엔터테인먼트,오락·문화
팬젠,제약
팸텍,반도체
펄어비스,디지털컨텐츠
펌텍코리아,화학
펨트론,기계·장비
펩트론,제약
포메탈,금속
포바이포,디지털컨텐츠
포스코DX,기타서비스
포스코엠텍,금속
포시에스,소프트웨어
포인트모바일,일반전기전자
포인트엔지니어링,금속
포커스에이치엔에스,일반전기전자
폴라리스세원,운송장비·부품
폴라리스오피스,소프트웨어
폴라리스우노,화학
푸드나무,유통
푸드웰,음식료·담배
푸른기술,정보기기
푸른저축은행,금융
풍강,금속
풍국주정,음식료·담배
풍원정밀,IT부품
퓨런티어,의료·정밀기기
퓨쳐켐,제약
프럼파스트,화학
프레스티지바이오로직스,제약
프로이천,일반전기전자
프로테옴텍,의료·정밀기기
프로텍,반도체
프롬바이오,음식료·담배
프리시젼바이오,의료·정밀기기
프리엠스,일반전기전자
플라즈맵,의료·정밀기기
플래스크,건설
플래티어,소프트웨어
플랜티넷,컴퓨터서비스
플레이디,기타서비스
플레이위드,디지털컨텐츠
플리토,디지털컨텐츠
피델릭스,반도체
피씨디렉트,유통
피씨엘,제약
피앤씨테크,일반전기전자
피에스케이,반도체
피에스케이홀딩스,반도체
피에스텍,의료·정밀기기
피에이치씨,유통
피에이치에이,운송장비·부품
피엔에이치테크,화학
피엔케이피부임상연구센타,기타서비스
피엔티,기계·장비
피엠티,의료·정밀기기
피제이메탈,금속
피제이전자,의료·정밀기기
피코그램,기타제조
피플바이오,제약
피피아이,일반전기전자
픽셀플러스,반도체
핀텔,소프트웨어
필에너지,기계·장비
필옵틱스,IT부품
핌스,IT부품
핑거,소프트웨어
핑거스토리,디지털컨텐츠
하나26호스팩,금융
하나27호스팩,금융
하나28호스팩,금융
하나29호스팩,금융
하나금융21호스팩,금융
하나금융22호스팩,금융
하나금융23호스팩,금융
하나금융24호스팩,금융
하나금융25호스팩,금융
하나기술,기계·장비
하나마이크론,반도체
하나머스트7호스팩,금융
하나머티리얼즈,반도체
하림,음식료·담배
하림지주,금융
하이드로리튬,금속
하이딥,반도체
하이로닉,의료·정밀기기
하이록코리아,금속
하이비젼시스템,의료·정밀기기
하이소닉,IT부품
하이제6호스팩,금융
하이제7호스팩,금융
하이제8호스팩,금융
하이즈항공,운송장비·부품
하이텍팜,제약
하인크코리아,기타제조
하츠,일반전기전자
한국가구,유통
한국경제TV,방송서비스
한국기업평가,기타서비스
한국맥널티,음식료·담배
한국비엔씨,제약
한국선재,금속
한국알콜,화학
한국유니온제약,제약
한국전자금융,기타서비스
한국전자인증,소프트웨어
한국정밀기계,기계·장비
한국정보공학,유통
한국정보인증,소프트웨어
한국정보통신,통신서비스
한국제11호스팩,금융
한국제12호스팩,금융
한국캐피탈,금융
한국컴퓨터,IT부품
한국큐빅,화학
한국테크놀로지,유통
한국파마,제약
한국팩키지,종이·목재
한글과컴퓨터,소프트웨어
한네트,통신서비스
한독크린텍,기계·장비
한라IMS,운송장비·부품
한빛소프트,디지털컨텐츠
한솔아이원스,IT부품
한솔인티큐브,컴퓨터서비스
한송네오텍,기계·장비
한스바이오메드,제약
한싹,소프트웨어
한양디지텍,반도체
한양이엔지,기타서비스
한일단조,운송장비·부품
한일사료,음식료·담배
한일진공,기계·장비
한일화학,화학
한주라이트메탈,금속
한창산업,금속
한컴위드,소프트웨어
한탑,음식료·담배
한화플러스제2호스팩,금융
한화플러스제3호스팩,금융
한화플러스제4호스팩,금융
해성산업,금융
해성산업1우,금융
해성옵틱스,IT부품
해성티피씨,금속
핸디소프트,소프트웨어
헝셩그룹,금융
헥토이노베이션,소프트웨어
헥토파이낸셜,소프트웨어
헬릭스미스,기타서비스
현대공업,운송장비·부품
현대무벡스,기계·장비
현대바이오,화학
현대바이오랜드,화학
현대에버다임,기계·장비
현대에이치티,통신장비
현대이지웰,기타서비스
현우산업,IT부품
협진,기계·장비
형지I&C,섬유·의류
홈센타홀딩스,유통
홈캐스트,통신장비
화성밸브,기계·장비
화신정공,운송장비·부품
화인써키트,반도체
화일약품,제약
효성오앤비,화학
휴네시온,소프트웨어
휴럼,음식료·담배
휴림네트웍스,통신장비
휴림로봇,기계·장비
휴림에이텍,운송장비·부품
휴마시스,제약
휴맥스,통신장비
휴맥스홀딩스,컴퓨터서비스
휴메딕스,제약
휴비츠,의료·정밀기기
휴센텍,의료·정밀기기
휴엠앤씨,기타제조
휴온스,제약
휴온스글로벌,제약
휴젤,제약
흥구석유,유통
흥국,기계·장비
흥국에프엔비,음식료·담배
희림,기타서비스
힘스,반도체
