종목명,업종명
천일고속,운수창고업
청호ICT,기계
체시스,운수장비
카카오,서비스업
카카오뱅크,은행
카카오페이,기타금융
카프로,화학
컨버즈,전기전자
케이비아이동국실업,운수장비
케이씨,의료정밀
케이씨텍,의료정밀
케이카,유통업
케이탑리츠,서비스업
코람코더원리츠,서비스업
코람코라이프인프라리츠,서비스업
코리아써우,전기전자
코리아써키트,전기전자
코리아써키트2우B,전기전자
코리안리,보험
코스맥스,화학
코스맥스비티아이,기타금융
코스모신소재,화학
코스모화학,화학
코아스,기타제조업
코오롱,기타금융
코오롱글로벌,건설업
코오롱글로벌우,건설업
코오롱모빌리티그룹,유통업
코오롱모빌리티그룹우,유통업
코오롱우,기타금융
코오롱인더,화학
코오롱인더우,화학
코오롱플라스틱,화학
코웨이,서비스업
콘텐트리중앙,서비스업
콤텍시스템,서비스업
쿠쿠홀딩스,기타금융
쿠쿠홈시스,서비스업
크라운제과,음식료품
크라운제과우,음식료품
크라운해태홀딩스,기타금융
크라운해태홀딩스우,기타금융
크래프톤,서비스업
키다리스튜디오,서비스업
키움증권,증권
태경비케이,비금속광물
태경산업,화학
태경케미컬,화학
태광산업,화학
태림포장,종이목재
태양금속,운수장비
태양금속우,운수장비
태영건설,건설업
태영건설우,건설업
태원물산,운수장비
태평양물산,섬유의복
테이팩스,화학
텔코웨어,서비스업
토니모리,화학
티에이치엔,전기전자
티와이홀딩스,기타금융
티와이홀딩스우,기타금융
티웨이항공,운수창고업
티웨이홀딩스,비금속광물
파미셀,의약품
팜스코,음식료품
팜젠사이언스,의약품
팬오션,운수창고업
퍼스텍,기계
퍼시스,기타제조업
페이퍼코리아,종이목재
평화산업,운수장비
평화홀딩스,운수장비
포스코스틸리온,철강금속
포스코인터내셔널,유통업
포스코퓨처엠,전기전자
풀무원,음식료품
풍산,철강금속
풍산홀딩스,기타금융
프레스티지바이오파마,서비스업
플레이그램,유통업
하나금융지주,기타금융
하나제약,의약품
하나투어,서비스업
하이브,서비스업
하이스틸,철강금속
하이트론,전기전자
하이트진로,음식료품
하이트진로2우B,음식료품
하이트진로홀딩스,기타금융
하이트진로홀딩스우,기타금융
한국ANKOR유전,기타금융
한국가스공사,전기가스업
한국공항,운수창고업
한국금융지주,기타금융
한국금융지주우,기타금융
한국내화,비금속광물
한국단자,전기전자
한국무브넥스,운수장비
한국석유,비금속광물
한국수출포장,종이목재
한국쉘석유,화학
한국앤컴퍼니,기타금융
한국자산신탁,기타금융
한국전력,전기가스업
한국전자홀딩스,기타금융
한국제지,종이목재
한국종합기술,서비스업
한국주강,기계
한국주철관,철강금속
한국철강,철강금속
한국카본,기계
한국콜마,화학
한국콜마홀딩스,기타금융
한국타이어앤테크놀로지,화학
한국토지신탁,기타금융
한국특강,철강금속
한국패러랠,기타금융
한국항공우주,운수장비
한국화장품,유통업
한국화장품제조,화학
한농화성,화학
한독,의약품
한미글로벌,서비스업
한미반도체,기계
한미사이언스,기타금융
한미약품,의약품
한샘,유통업
한섬,섬유의복
한성기업,음식료품
한세실업,섬유의복
한세엠케이,유통업
한세예스24홀딩스,섬유의복
한솔PNS,유통업
한솔로지스틱스,운수창고업
한솔제지,종이목재
한솔케미칼,화학
한솔테크닉스,전기전자
한솔홀딩스,기타금융
한솔홈데코,종이목재
한신공영,건설업
한신기계,기계
한양증권,증권
한양증권우,증권
한온시스템,기계
한올바이오파마,의약품
한익스프레스,운수창고업
한일시멘트,비금속광물
한일철강,철강금속
한일현대시멘트,비금속광물
한일홀딩스,비금속광물
한전KPS,건설업
한전기술,서비스업
한전산업,서비스업
한진,운수창고업
한진중공업홀딩스,전기가스업
한진칼,운수창고업
한진칼우,운수창고업
한창,유통업
한창제지,종이목재
한컴라이프케어,의료정밀
한화,화학
한화3우B,화학
한화갤러리아,유통업
한화갤러리아우,유통업
한화리츠,서비스업
한화생명,보험
한화손해보험,보험
한화솔루션,화학
한화솔루션우,화학
한화시스템,전기전자
한화에어로스페이스,운수장비
한화오션,운수장비
한화우,화학
한화투자증권,증권
한화투자증권우,증권
해성디에스,전기전자
해태제과식품,음식료품
핸즈코퍼레이션,운수장비
현대건설,건설업
현대건설우,건설업
현대그린푸드,유통업
현대글로비스,운수창고업
현대로템,운수장비
현대리바트,기타제조업
현대모비스,운수장비
현대미포조선,운수장비
현대백화점,유통업
현대비앤지스틸,철강금속
현대약품,의약품
현대엘리베이,기계
현대오토에버,서비스업
현대위아,운수장비
현대제철,철강금속
현대지에프홀딩스,기타금융
현대차,운수장비
현대차2우B,운수장비
현대차3우B,운수장비
현대차우,운수장비
현대차증권,증권
현대코퍼레이션,유통업
현대코퍼레이션홀딩스,유통업
현대퓨처넷,통신업
현대해상,보험
현대홈쇼핑,유통업
형지엘리트,섬유의복
혜인,유통업
호전실업,섬유의복
호텔신라,유통업
호텔신라우,유통업
화성산업,건설업
화승알앤에이,운수장비
화승엔터프라이즈,기타제조업
화승인더,화학
화승코퍼레이션,운수장비
화신,운수장비
화인베스틸,철강금속
화천기계,기계
화천기공,기계
환인제약,의약품
황금에스티,철강금속
효성,기타금융
효성ITX,서비스업
효성중공업,전기전자
효성첨단소재,화학
효성티앤씨,화학
효성화학,화학
후성,화학
휠라홀딩스,유통업
휴니드,전기전자
휴비스,화학
휴스틸,철강금속
흥국화재,보험
흥국화재우,보험
흥아해운,운수창고업
3S,기계·장비
APS,금융
AP시스템,반도체
AP위성,통신장비
BGF에코머티리얼즈,화학
CBI,운송장비·부품
CG인바이츠,기타서비스
CJ ENM,방송서비스
CJ 바이오사이언스,기타서비스
CJ프레시웨이,유통
CMG제약,제약
CNH,금융
CNT85,건설
CS,통신장비
CSA 코스믹,화학
DB금융스팩10호,금융
DB금융스팩11호,금융
DB금융스팩9호,금융
DGP,전기·가스·수도
DH오토웨어,일반전기전자
DMS,기계·장비
DSC인베스트먼트,금융
DSEN,유통
DXVX,기타서비스
EDGC,기타서비스
EG,화학
ES큐브,유통
FSN,출판·매체복제
GH신소재,섬유·의류
GRT,금융
GST,반도체
HB솔루션,기계·장비
HB테크놀러지,기계·장비
HK이노엔,제약
HLB,제약
HLB바이오스텝,기타서비스
HLB생명과학,제약
HLB이노베이션,반도체
HLB제약,기타서비스
HLB테라퓨틱스,유통
HLB파나진,의료·정밀기기
HPSP,반도체
HRS,화학
IBKS제17호스팩,금융
IBKS제19호스팩,금융
IBKS제20호스팩,금융
IBKS제21호스팩,금융
IBKS제22호스팩,금융
ISC,반도체
